delta,adjPval,mLassoRad,minDmrSep,TP,FP,FN,Pwr,Precis,AuPR,MCC,F1
0.05,0.01,1e3,200,156 (10.11),17 (4.83),344 (10.11),0.31 (0.02),0.92 (0.01),0.48 (0.02),0.49 (0.02),0.46 (0.02)
0.05,0.01,1e3,250,156 (10.11),17 (4.83),344 (10.11),0.31 (0.02),0.92 (0.01),0.48 (0.02),0.49 (0.02),0.46 (0.02)
0.05,0.01,1e3,500,157 (10.33),18 (4.72),343 (10.33),0.31 (0.02),0.92 (0.01),0.48 (0.02),0.49 (0.02),0.46 (0.02)
0.05,0.01,1e3,750,157 (10.33),18 (4.72),343 (10.33),0.31 (0.02),0.92 (0.01),0.48 (0.02),0.49 (0.02),0.46 (0.02)
0.05,0.01,1e3,1e3,157 (10.33),18 (4.72),343 (10.33),0.31 (0.02),0.92 (0.01),0.48 (0.02),0.49 (0.02),0.46 (0.02)
0.05,0.05,375,200,116 (10.28),5 (2.45),384 (10.28),0.23 (0.02),0.96 (0.02),0.41 (0.02),0.43 (0.02),0.37 (0.02)
0.05,0.05,375,250,116 (10.28),5 (2.45),384 (10.28),0.23 (0.02),0.96 (0.02),0.41 (0.02),0.43 (0.02),0.37 (0.02)
0.05,0.05,375,500,116 (10.28),5 (2.45),384 (10.28),0.23 (0.02),0.96 (0.02),0.41 (0.02),0.43 (0.02),0.37 (0.03)
0.05,0.05,375,750,116 (10.28),5 (2.45),384 (10.28),0.23 (0.02),0.96 (0.02),0.41 (0.02),0.43 (0.02),0.37 (0.03)
0.05,0.05,375,1e3,116 (10.02),5 (2.45),384 (10.02),0.23 (0.02),0.96 (0.02),0.41 (0.02),0.43 (0.02),0.37 (0.02)
0.05,0.05,700,200,172 (8.5),11 (3.29),328 (8.5),0.34 (0.02),0.95 (0.02),0.51 (0.02),0.53 (0.02),0.5 (0.02)
0.05,0.05,700,250,172 (8.5),11 (3.29),328 (8.5),0.34 (0.02),0.95 (0.02),0.51 (0.02),0.53 (0.02),0.5 (0.02)
0.05,0.05,700,500,172 (8.5),12 (3.29),328 (8.5),0.34 (0.02),0.95 (0.02),0.51 (0.02),0.53 (0.02),0.5 (0.02)
0.05,0.05,700,750,172 (8.5),12 (3.29),328 (8.5),0.34 (0.02),0.95 (0.02),0.51 (0.02),0.53 (0.02),0.5 (0.02)
0.05,0.05,700,1e3,172 (8.5),12 (3.27),328 (8.5),0.34 (0.02),0.95 (0.02),0.51 (0.02),0.53 (0.02),0.5 (0.02)
0.05,0.05,1e3,200,211 (10.6),20 (4.97),289 (10.6),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.58 (0.02)
0.05,0.05,1e3,250,211 (10.6),20 (4.97),289 (10.6),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.57 (0.02)
0.05,0.05,1e3,500,212 (10.92),21 (5.03),288 (10.92),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.57 (0.02)
0.05,0.05,1e3,750,212 (10.92),21 (5.03),288 (10.92),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.57 (0.02)
0.05,0.05,1e3,1e3,212 (10.92),21 (5.03),288 (10.92),0.42 (0.02),0.93 (0.01),0.57 (0.02),0.58 (0.02),0.57 (0.02)
0.05,0.1,375,200,131 (7.38),6 (2.7),369 (7.38),0.26 (0.01),0.96 (0.02),0.44 (0.01),0.46 (0.01),0.41 (0.02)
0.05,0.1,375,250,131 (7.38),6 (2.7),369 (7.38),0.26 (0.01),0.96 (0.02),0.44 (0.01),0.46 (0.01),0.41 (0.02)
0.05,0.1,375,500,131 (7.38),6 (2.7),369 (7.38),0.26 (0.01),0.96 (0.02),0.44 (0.01),0.46 (0.01),0.41 (0.02)
0.05,0.1,375,750,131 (7.38),6 (2.7),369 (7.38),0.26 (0.01),0.96 (0.02),0.44 (0.01),0.46 (0.01),0.41 (0.02)
0.05,0.1,375,1e3,131 (7.12),6 (2.7),369 (7.12),0.26 (0.01),0.96 (0.02),0.44 (0.01),0.46 (0.01),0.41 (0.02)
0.05,0.1,700,200,196 (10.01),13 (3.67),304 (10.01),0.39 (0.02),0.95 (0.02),0.55 (0.02),0.57 (0.02),0.55 (0.02)
0.05,0.1,700,250,196 (10.01),13 (3.67),304 (10.01),0.39 (0.02),0.95 (0.02),0.55 (0.02),0.57 (0.02),0.55 (0.02)
0.05,0.1,700,500,196 (10.01),13 (3.56),304 (10.01),0.39 (0.02),0.95 (0.02),0.55 (0.02),0.57 (0.02),0.55 (0.02)
0.05,0.1,700,750,197 (10.01),13 (3.56),303 (10.01),0.39 (0.02),0.95 (0.02),0.55 (0.02),0.57 (0.02),0.55 (0.02)
0.05,0.1,700,1e3,197 (10.01),13 (3.65),303 (10.01),0.39 (0.02),0.95 (0.02),0.55 (0.02),0.57 (0.02),0.55 (0.02)
0.05,0.1,1e3,200,238 (11.69),23 (5.76),262 (11.69),0.48 (0.02),0.93 (0.01),0.61 (0.02),0.62 (0.02),0.62 (0.02)
0.05,0.1,1e3,250,238 (11.69),23 (5.76),262 (11.69),0.48 (0.02),0.93 (0.01),0.61 (0.02),0.62 (0.02),0.62 (0.02)
0.05,0.1,1e3,500,238 (11.94),23 (5.89),262 (11.94),0.48 (0.02),0.93 (0.01),0.61 (0.02),0.62 (0.02),0.62 (0.02)
0.05,0.1,1e3,750,238 (11.94),23 (5.89),262 (11.94),0.48 (0.02),0.93 (0.01),0.61 (0.02),0.62 (0.02),0.62 (0.02)
0.05,0.1,1e3,1e3,238 (11.94),23 (5.89),262 (11.94),0.48 (0.02),0.93 (0.01),0.61 (0.02),0.62 (0.02),0.62 (0.02)
0.1,0.001,375,200,150 (7.18),7 (2.86),350 (7.18),0.3 (0.01),0.96 (0.02),0.47 (0.01),0.5 (0.01),0.45 (0.01)
0.1,0.001,375,250,150 (7.18),7 (2.86),350 (7.18),0.3 (0.01),0.96 (0.02),0.47 (0.01),0.5 (0.01),0.45 (0.01)
0.1,0.001,375,500,150 (7.18),7 (2.86),350 (7.18),0.3 (0.01),0.96 (0.02),0.47 (0.01),0.5 (0.01),0.45 (0.02)
0.1,0.001,375,750,150 (7.18),7 (2.86),350 (7.18),0.3 (0.01),0.96 (0.02),0.47 (0.01),0.5 (0.01),0.45 (0.02)
0.1,0.001,375,1e3,150 (7.18),7 (2.86),350 (7.18),0.3 (0.01),0.96 (0.02),0.47 (0.01),0.49 (0.01),0.45 (0.02)
0.1,0.001,700,200,217 (8.47),15 (3.78),283 (8.47),0.43 (0.02),0.95 (0.01),0.58 (0.01),0.6 (0.01),0.59 (0.02)
0.1,0.001,700,250,217 (8.47),15 (3.78),283 (8.47),0.43 (0.02),0.95 (0.01),0.58 (0.01),0.6 (0.01),0.59 (0.02)
0.1,0.001,700,500,217 (8.03),15 (3.67),283 (8.03),0.43 (0.02),0.94 (0.01),0.58 (0.01),0.6 (0.02),0.59 (0.02)
0.1,0.001,700,750,217 (8.14),15 (3.67),283 (8.14),0.43 (0.02),0.95 (0.01),0.58 (0.01),0.6 (0.02),0.59 (0.02)
0.1,0.001,700,1e3,217 (8.14),15 (3.36),283 (8.14),0.43 (0.02),0.94 (0.01),0.58 (0.01),0.6 (0.02),0.59 (0.02)
0.1,0.001,1e3,200,266 (8.5),28 (5.81),234 (8.5),0.53 (0.02),0.92 (0.01),0.65 (0.01),0.66 (0.01),0.67 (0.01)
0.1,0.001,1e3,250,266 (8.5),28 (5.81),234 (8.5),0.53 (0.02),0.92 (0.01),0.65 (0.01),0.66 (0.01),0.67 (0.01)
0.1,0.001,1e3,500,266 (8.88),28 (5.72),234 (8.88),0.53 (0.02),0.92 (0.01),0.65 (0.01),0.66 (0.01),0.67 (0.01)
0.1,0.001,1e3,750,266 (8.88),28 (5.68),234 (8.88),0.53 (0.02),0.92 (0.01),0.65 (0.01),0.66 (0.01),0.67 (0.01)
0.1,0.001,1e3,1e3,266 (8.79),28 (5.68),234 (8.79),0.53 (0.02),0.92 (0.01),0.65 (0.01),0.66 (0.01),0.67 (0.01)
0.1,0.01,375,200,180 (9.15),7 (2.97),320 (9.15),0.36 (0.02),0.96 (0.01),0.53 (0.01),0.55 (0.01),0.52 (0.02)
0.1,0.01,375,250,180 (9.15),7 (2.97),320 (9.15),0.36 (0.02),0.96 (0.01),0.53 (0.01),0.55 (0.01),0.52 (0.02)
0.1,0.01,375,500,180 (9.15),7 (2.97),320 (9.15),0.36 (0.02),0.96 (0.01),0.53 (0.01),0.55 (0.01),0.52 (0.02)
0.1,0.01,375,750,180 (9.15),7 (2.97),320 (9.15),0.36 (0.02),0.96 (0.01),0.53 (0.01),0.55 (0.01),0.52 (0.02)
0.1,0.01,375,1e3,181 (9.39),8 (3.05),319 (9.39),0.36 (0.02),0.96 (0.01),0.53 (0.01),0.55 (0.01),0.52 (0.02)
0.1,0.01,700,200,264 (4.39),19 (2.51),236 (4.39),0.53 (0.01),0.95 (0.01),0.65 (0.01),0.67 (0.01),0.67 (0.01)
0.1,0.01,700,250,264 (4.39),19 (2.51),236 (4.39),0.53 (0.01),0.95 (0.01),0.65 (0.01),0.67 (0.01),0.67 (0.01)
0.1,0.01,700,500,265 (4.16),19 (2.39),235 (4.16),0.53 (0.01),0.94 (0.01),0.65 (0.01),0.67 (0.01),0.67 (0.01)
0.1,0.01,700,750,265 (3.87),19 (2.39),235 (3.87),0.53 (0.01),0.94 (0.01),0.65 (0.01),0.67 (0.01),0.67 (0.01)
0.1,0.01,700,1e3,265 (3.87),19 (2.17),235 (3.87),0.53 (0.01),0.94 (0.01),0.65 (0.01),0.67 (0.01),0.67 (0.01)
0.1,0.01,1e3,200,322 (8.96),32 (6.69),178 (8.96),0.64 (0.02),0.93 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.1,0.01,1e3,250,322 (8.96),32 (6.69),178 (8.96),0.64 (0.02),0.93 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.1,0.01,1e3,500,323 (9.03),32 (6.53),177 (9.03),0.65 (0.02),0.93 (0.01),0.74 (0.01),0.74 (0.01),0.76 (0.01)
0.1,0.01,1e3,750,323 (9.03),32 (6.54),177 (9.03),0.65 (0.02),0.93 (0.01),0.74 (0.01),0.74 (0.01),0.76 (0.01)
0.1,0.01,1e3,1e3,323 (9.28),32 (6.54),177 (9.28),0.65 (0.02),0.93 (0.01),0.73 (0.01),0.74 (0.01),0.76 (0.01)
0.1,0.05,375,200,205 (9.94),9 (3.29),295 (9.94),0.41 (0.02),0.96 (0.01),0.57 (0.01),0.59 (0.01),0.57 (0.02)
0.1,0.05,375,250,205 (9.94),9 (3.29),295 (9.94),0.41 (0.02),0.96 (0.01),0.57 (0.01),0.59 (0.01),0.57 (0.02)
0.1,0.05,375,500,205 (10.31),9 (3.29),295 (10.31),0.41 (0.02),0.96 (0.01),0.57 (0.01),0.59 (0.01),0.57 (0.02)
0.1,0.05,375,750,205 (10.31),9 (3.29),295 (10.31),0.41 (0.02),0.96 (0.01),0.57 (0.01),0.59 (0.01),0.57 (0.02)
0.1,0.05,375,1e3,206 (10.81),9 (3.35),294 (10.81),0.41 (0.02),0.96 (0.01),0.57 (0.02),0.59 (0.01),0.57 (0.02)
0.1,0.05,700,200,298 (2.97),21 (3.11),202 (2.97),0.6 (0.01),0.94 (0.01),0.7 (0.01),0.71 (0.01),0.73 (0.01)
0.1,0.05,700,250,298 (2.97),21 (3.11),202 (2.97),0.6 (0.01),0.94 (0.01),0.7 (0.01),0.71 (0.01),0.73 (0.01)
0.1,0.05,700,500,299 (3.21),21 (2.92),201 (3.21),0.6 (0.01),0.94 (0.01),0.7 (0.01),0.71 (0.01),0.73 (0.01)
0.1,0.05,700,750,299 (2.83),21 (2.92),201 (2.83),0.6 (0.01),0.94 (0.01),0.7 (0.01),0.71 (0.01),0.73 (0)
